0x8000000c: ?????????	call--> _trm_init @[0x80000098]
0x800000a8: _trm_init	  call--> main @[0x80000010]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x8000007c: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x8000007c: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x8000007c: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x8000007c: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x8000007c: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000040: main	    call--> putch @[0x8000008c]
0x80000094: putch	    ret --> putch @[0x80000094]
0x80000068: main	  ret --> main @[0x80000068]
