[1;34m[src/utils/log.c:29 init_log] Log is written to /home/alan/Project/ysyx/ysyx-workbench/am-kernels/kernels/hello/build/nemu-log.txt[0m
[1;34m[src/utils/log.c:39 init_ftrace_log] Log is written to /home/alan/Project/ysyx/ysyx-workbench/am-kernels/kernels/hello/build/ftrace-log.txt[0m
[1;34m[src/memory/paddr.c:56 init_mem] physical memory area [0x80000000, 0x87ffffff][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'serial' at [0xa00003f8, 0xa00003ff][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'rtc' at [0xa0000048, 0xa000004f][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'vgactl' at [0xa0000100, 0xa0000107][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'vmem' at [0xa1000000, 0xa10752ff][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'keyboard' at [0xa0000060, 0xa0000063][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'audio' at [0xa0000200, 0xa0000217][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'audio-sbuf' at [0xa1200000, 0xa120ffff][0m
[1;34m[src/monitor/monitor.c:70 load_img] The image is /home/alan/Project/ysyx/ysyx-workbench/am-kernels/kernels/hello/build/hello-riscv32-nemu.bin, size = 234[0m
[1;34m[src/cpu/difftest/dut.c:84 init_difftest] Differential testing: [1;32mON[0m[0m
[1;34m[src/cpu/difftest/dut.c:85 init_difftest] The result of every instruction will be compared with /home/alan/Project/ysyx/ysyx-workbench/nemu/tools/spike-diff/build/riscv32-spike-so. This will help you a lot for debugging, but also significantly reduce the performance. If it is not necessary, you can turn it off in menuconfig.[0m
[1;34m[src/monitor/monitor.c:30 welcome] Trace: [1;32mON[0m[0m
[1;34m[src/monitor/monitor.c:33 welcome] If trace is enabled, a log file will be generated to record the trace. This may lead to a large log file. If it is not necessary, you can disable it in menuconfig[0m
[1;34m[src/monitor/monitor.c:36 welcome] Build time: 14:47:24, Nov 19 2023[0m
0x80000000: 00 00 04 13 addi	s0, zero, 0
0x80000004: 00 00 91 17 auipc	sp, 9
0x80000008: ff c1 01 13 addi	sp, sp, -4
0x8000000c: 08 c0 00 ef jal	ra, 0x80000098
0x80000098: 80 00 05 37 lui	a0, 524288
0x8000009c: ff 01 01 13 addi	sp, sp, -16
0x800000a0: 0e 45 05 13 addi	a0, a0, 228
0x800000a4: 00 11 26 23 sw	ra, 12(sp)
0x800000a8: f6 9f f0 ef jal	ra, 0x80000010
0x80000010: fe 01 01 13 addi	sp, sp, -32
0x80000014: 00 91 2a 23 sw	s1, 20(sp)
0x80000018: 80 00 04 b7 lui	s1, 524288
0x8000001c: 01 21 28 23 sw	s2, 16(sp)
0x80000020: 01 31 26 23 sw	s3, 12(sp)
0x80000024: 00 11 2e 23 sw	ra, 28(sp)
0x80000028: 00 05 09 93 addi	s3, a0, 0
0x8000002c: 00 81 2c 23 sw	s0, 24(sp)
0x80000030: 0b 84 84 93 addi	s1, s1, 184
0x80000034: 04 80 05 13 addi	a0, zero, 72
0x80000038: 02 50 09 13 addi	s2, zero, 37
0x8000003c: 03 25 08 63 beq	a0, s2, 0x8000006c
0x80000040: 04 c0 00 ef jal	ra, 0x8000008c
0x8000008c: a0 00 07 b7 lui	a5, 655360
0x80000090: 3e a7 8c 23 sb	a0, 1016(a5)
0x80000094: 00 00 80 67 jalr	zero, 0(ra)
0x80000044: 00 14 c5 03 lbu	a0, 1(s1)
0x80000048: 00 14 84 93 addi	s1, s1, 1
0x8000004c: fe 05 18 e3 bne	a0, zero, 0x8000003c
0x8000003c: 03 25 08 63 beq	a0, s2, 0x8000006c
0x80000040: 04 c0 00 ef jal	ra, 0x8000008c
0x8000008c: a0 00 07 b7 lui	a5, 655360
0x80000090: 3e a7 8c 23 sb	a0, 1016(a5)
0x80000094: 00 00 80 67 jalr	zero, 0(ra)
0x80000044: 00 14 c5 03 lbu	a0, 1(s1)
0x80000048: 00 14 84 93 addi	s1, s1, 1
0x8000004c: fe 05 18 e3 bne	a0, zero, 0x8000003c
0x8000003c: 03 25 08 63 beq	a0, s2, 0x8000006c
0x80000040: 04 c0 00 ef jal	ra, 0x8000008c
0x8000008c: a0 00 07 b7 lui	a5, 655360
0x80000090: 3e a7 8c 23 sb	a0, 1016(a5)
0x80000094: 00 00 80 67 jalr	zero, 0(ra)
0x80000044: 00 14 c5 03 lbu	a0, 1(s1)
0x80000048: 00 14 84 93 addi	s1, s1, 1
0x8000004c: fe 05 18 e3 bne	a0, zero, 0x8000003c
0x8000003c: 03 25 08 63 beq	a0, s2, 0x8000006c
